#ce3f84
#a95679
#804262
#5d283e
#584e63
#8e5a4f
#ac5f4f
#ad4d32
#745749
#48443b
#2a3932
#246282
#217689
#2a88aa
#2ba5ad
#23a098
#82b329
#bcd45f
#d9d8b2
#d1b6b2
