#8f5f55
#c28b48
#b4a387
#c6ab74
#d7c08e
#dbd3c0
#968c37
#86b4a9
#72d3bf
#779e99
#444685
#2a2a5c
#565366
#69636e
#928599
#af8ac2
#452844
#42383f
#bf3571
#c12528
