#4325bc
#4330cc
#ba5757
#d94343
#9973d1
#ba7d57
#719199
#6aa095
#dd7eb6
#ba9957
#52b677
#cca358
#bca4bd
#82b5c2
#e599ba
#d8a2ce
#afba57
#81c4b4
#a6c3b0
#d9c5a7
