#4c354f
#583c6c
#565038
#2b5b75
#704c85
#8c4c8b
#626662
#5b6eae
#d73659
#d6644d
#7e8b86
#5d93a3
#d17931
#91998c
#b89f82
#b6b8b0
#a9ca93
#cecc93
#b5e3c6
#dfdfd1
