#2f2c42
#2a303b
#2b372e
#553a5a
#434a54
#624466
#416652
#b63427
#84558a
#6a687a
#407580
#807373
#6f848f
#878690
#669c5d
#999388
#5eb135
#c7c2ab
#abd821
#b8e07b
