#522d2d
#a84c4c
#a26f66
#312725
#ad4d32
#594a45
#a3796a
#dc7434
#2f2a26
#d8a467
#b5a788
#dfd8c0
#373c26
#b1baab
#52654f
#8fb3ab
#7fd4ca
#2dc2b3
#8ac6d0
#4b84a1
