#5c716a
#50524b
#262e30
#1e1c1f
#3d4053
#774d7a
#b2525d
#cc796d
#c6929f
#ceb0a6
#a69f99
#ceb493
#e1ce8a
#d1cda7
#b8ced6
#83b3c7
#86b6be
#a9c9b4
#a0c194
#2da251
