#615a70
#3d4273
#2d2254
#846599
#bd53b2
#6666e2
#7986a1
#a2a2c3
#bfbfb2
#ccd6bd
#d6d396
#76cc41
#56c136
#4aa82d
#2d9b6d
#45cca5
#269b99
#8e9d88
#bf9351
#786f4c
