#66254c
#492b4a
#7f6280
#6e5b5d
#795f4f
#5c5c41
#3d3d25
#424d3e
#1c5d7d
#58766d
#2d8c7b
#88aa7e
#dcd1ae
#d1d1d1
#91cad5
#aaadb3
#818583
#a88a8e
#a68190
#bd454f
