#6b7c7d
#5b6d75
#505b39
#27382f
#354f60
#3a6ba5
#1c5ba2
#2c4273
#313f52
#2b2a40
#612c2c
#8c2737
#91657c
#b3598d
#d4639a
#999999
#b3b3b3
#cccccc
#71c1e2
#71c9be
