#db3834
#c5b898
#7f755b
#3f3b2f
#ac985b
#cdc08c
#b1ab91
#a0d127
#92d8bc
#748b85
#205e60
#2d4b56
#889aa7
#6c43cc
#9a66d9
#553260
#4d223e
#9e266a
#b32e73
#cf3638
