#3a6ba5
#2e456f
#2f343d
#67434d
#995653
#a66449
#b58b3f
#ccba48
#bcdc2e
#44e3a6
#a2ac77
#8c8e6a
#696e5d
#6c918f
#bababa
#d6d6d6
#cbc4c4
#cab8b8
#c5a7b5
#c9a0c3
