#2b2d2c
#6a5e86
#9165a7
#cd78cd
#bf69ad
#a3353f
#b43d3f
#d9531a
#a69989
#a9a789
#bdc489
#c4c3a9
#cdcac0
#b7dae3
#86c3ab
#2fbac8
#468da0
#6899aa
#6b979b
#55805d
