#3f6059
#78634f
#a07b69
#7f6c73
#7a5b6c
#b33475
#632037
#94312b
#cd362a
#db7631
#d0885a
#d09661
#ab8d69
#afbd7b
#a4d76a
#57a140
#5ebb8f
#5ad196
#45d9ad
#22c6bd
