#86b4bf
#21b8c3
#29a2cd
#919191
#bc8686
#cf6f6d
#ad2343
#a34b67
#94518f
#9d57a0
#975aa7
#895bab
#86529d
#7c51a0
#714da4
#333355
#303030
#4c4230
#715f44
#d3ad29
