#ab4747
#795e4d
#784e2a
#29221a
#3c3b39
#c0c257
#c1c2a5
#8dc179
#6a8f72
#57695b
#73d0d1
#a4d0d7
#485494
#4d50a3
#6058ad
#745ba6
#685a70
#d098db
#a12432
#a6292f
