#9e3520
#c2294c
#a42b67
#594150
#402c2b
#27364f
#787887
#c4a9a9
#d1c4b2
#9eac9f
#61d8ba
#41b985
#72a36c
#86c07f
#93c088
#e3be36
#8e923e
#52602b
#566755
#7a7a6e
