#857785
#7773bd
#b35984
#80201c
#33302d
#273036
#665426
#5a8057
#3f8c66
#418d89
#729e9a
#9fc1d1
#bac8ce
#cad0d2
#b3d5d6
#5cccaa
#97c04f
#d2c954
#dec199
#c48757
