#999999
#3b3030
#786660
#dbbb87
#b3a47f
#94c08f
#bae0ca
#687a77
#5bb2a6
#659691
#73d0d1
#202e31
#5ba2d0
#2573c5
#443764
#5a3d68
#91445a
#6e3443
#c4395c
#442f34
