#282828
#342b2c
#372b3c
#36374d
#aa2c52
#566b73
#cd4fbc
#468da0
#858585
#6b979b
#7a9994
#c489a2
#be957e
#dca2a0
#c0b330
#8ecb7d
#adccb5
#cdcac0
#c5d2c5
#ded6ca
