#b3a4a1
#47362c
#b86a3c
#bd9c73
#998b79
#d1bc7b
#a7aa7f
#c8cc95
#bbd8b9
#396371
#37464d
#4394e5
#408ddd
#aeb5bf
#3d76d0
#6f627a
#412d45
#d5c9d6
#452b46
#a6244d
