#94312b
#cd362a
#a07b69
#d0885a
#db7631
#d09661
#78634f
#ab8d69
#afbd7b
#a4d76a
#57a140
#5ad196
#5ebb8f
#45d9ad
#3f6059
#22c6bd
#7a5b6c
#b33475
#7f6c73
#632037
