#a44848
#754131
#aa6e51
#7d7060
#ba9545
#bfb02b
#747541
#b9c478
#98c070
#d0e3cf
#7faf82
#73ce99
#34b382
#418670
#43a993
#2e4d4f
#364861
#513657
#d96788
#e08286
