#d1b6b2
#ac5f4f
#8e5a4f
#ad4d32
#745749
#48443b
#d9d8b2
#bcd45f
#82b329
#2a3932
#23a098
#2ba5ad
#217689
#2a88aa
#246282
#584e63
#804262
#ce3f84
#a95679
#5d283e
