#694b2f
#40423c
#232533
#272b4d
#4b1b2d
#673347
#9c2552
#913b5b
#8a4f80
#a27485
#b991b3
#c28076
#d98a68
#b88d72
#db9e4f
#c3af7c
#a5b8b8
#4ecc78
#2c9173
#376f48
