#dc4e4a
#ad4d32
#bd5427
#a69382
#b6af92
#d6d283
#2d6733
#72e37e
#2aa337
#47d156
#26856d
#2faead
#9fb6c2
#aaa8b2
#997fbc
#543342
#60404d
#6b4d59
#8e656b
#86454a
