#211d1d
#252933
#472b2a
#32326d
#443936
#9c3433
#6b6b6b
#447e8c
#e02690
#bf69ad
#749096
#ad8885
#6b9a9b
#2fbac8
#b9a8a1
#b8b291
#6ac9ca
#83d586
#c1cbd0
#c3ced4
