#de2e1b
#d9503b
#574440
#655f51
#d0cc75
#dfdeae
#a7a97a
#c8cc95
#70762d
#cfd68b
#6b6f5e
#bad666
#9dccae
#a8c3ca
#69828c
#374e5c
#6f627a
#6d27a3
#723e78
#ae3676
