#4c2636
#522766
#8e223c
#6b27d9
#38745a
#83695a
#469172
#75a191
#be94a0
#b3a469
#a4b034
#baa1b4
#b3ac75
#75bfa5
#d4a4d8
#91bdbf
#b4b7d8
#babebd
#68d8a9
#d6dd5f
