#68b15b
#4fb087
#30acb8
#3e9091
#4d7478
#25413a
#303640
#5e4543
#af3421
#cd5032
#d2896e
#a09489
#9a9a9a
#978791
#b77ad2
#c2b3db
#c6c2c4
#d3dfe2
#baced6
#abc3ce
