#bc8e5c
#cc7468
#c2695d
#a4285e
#ac302e
#8a3d33
#7c573d
#795f4f
#574b40
#4d3c32
#412921
#222734
#374760
#4e3475
#693991
#245fb1
#727b8c
#bbadc7
#d7c8b5
#88aa7e
