#3b706e
#293946
#384744
#70613d
#5b391b
#694d44
#884e36
#8a1a1a
#c72e2e
#cc564e
#b88053
#bd897b
#ab8274
#9c8497
#9685a6
#bcbab3
#cddba4
#b3c853
#61c9b8
#54c6d0
