#303030
#919191
#bc8686
#cf6f6d
#715f44
#4c4230
#d3ad29
#21b8c3
#86b4bf
#29a2cd
#333355
#714da4
#7c51a0
#895bab
#86529d
#975aa7
#9d57a0
#94518f
#a34b67
#ad2343
