#4d1f2e
#3f2e5e
#60534b
#913a41
#696996
#7a764d
#d84351
#818149
#638d84
#a1826c
#569c8c
#919771
#c28c21
#a5a08a
#d3963e
#afacb3
#ccbc66
#cfc26d
#d3c95c
#bbd8bb
