#997fbc
#3a6ba5
#3a3549
#413e2d
#747541
#857d67
#997748
#ba9545
#bea35e
#aabf33
#a0d936
#cde08b
#75d17a
#92ded2
#3dccb9
#66aba6
#ac9f7f
#d3bc9d
#c4a69b
#d2a69d
