#641e2b
#54374d
#49373f
#504d3c
#375144
#4f705d
#557a8b
#a5afb5
#d7e5cc
#8ed955
#afbf75
#d4be7b
#9c956e
#906a43
#d6642e
#d13232
#c0322e
#b66878
#bb6d7d
#9a628f
