#b4875f
#dbcb77
#aecca6
#234524
#5dbf63
#469a4c
#277c3c
#1a6c35
#299660
#338f6c
#47a682
#4790a6
#406391
#323b4c
#4d5170
#332e3a
#9e5fb3
#2b242b
#703a5a
#ba5969
