#868e91
#5c9391
#568181
#616769
#303233
#4b3f2f
#695642
#736050
#6f6251
#837260
#b84463
#c42749
#ab1d3c
#a9353a
#ad4d32
#9f5433
#bf5e29
#94722b
#8a9124
#d9d593
