#7336d6
#402d37
#261f1c
#593d24
#b22e40
#b22d4f
#a66387
#d98298
#dbb0c3
#ddcace
#c3c2b4
#b0cdd1
#509993
#5ed1af
#98d998
#dbc23a
#b0a596
#808080
#8f8ea3
#9da0c5
