#1f214e
#2b2b2b
#784e2a
#206a8a
#64656d
#6e6387
#87636d
#6e6e6e
#856387
#876e63
#747685
#af636c
#877e63
#5d868a
#a38678
#a79a2a
#c291ae
#cdc75c
#d9c3d3
#d2d083
