#783d74
#624549
#896857
#765641
#504e48
#646754
#5a8365
#86b8b1
#b8bb9e
#b4bb63
#dbc23a
#ce9256
#d09462
#e3741a
#cd6820
#c65a3b
#c74e45
#b63e3b
#d3586a
#ad8798
