#b63e3b
#c74e45
#c65a3b
#896857
#765641
#cd6820
#e3741a
#d09462
#ce9256
#504e48
#dbc23a
#b4bb63
#b8bb9e
#646754
#5a8365
#86b8b1
#783d74
#ad8798
#d3586a
#624549
