#1d1f29
#373737
#333b3c
#612441
#663030
#294273
#44504a
#ce2533
#2b71b3
#5e7678
#66887d
#2d99e0
#b09535
#6dbf9e
#b5b196
#96c368
#b3c3c7
#d7c6aa
#97d998
#d6d4ab
