#423c3c
#ad4d32
#c4b073
#2f2b1d
#ccc48b
#6e6a4c
#698244
#97ce81
#6da67e
#86ba9c
#29534c
#22b6a6
#3f4c4d
#29b9d3
#7198a8
#a1bdc9
#426d80
#244259
#34394d
#3f3f4d
