#806f4d
#4d3e32
#47362c
#5a2e41
#452b46
#231a34
#3a3566
#5955a1
#b82886
#e08072
#c9a66c
#ccb78c
#d1bc7b
#bdc489
#a7aa7f
#acb28e
#57af9c
#72c9da
#409bb6
#28879b
