#b63427
#807373
#999388
#c7c2ab
#b8e07b
#abd821
#5eb135
#669c5d
#416652
#407580
#6f848f
#878690
#6a687a
#434a54
#2b372e
#2a303b
#2f2c42
#553a5a
#624466
#84558a
