#1c2f3e
#49435d
#7d2437
#c13c2b
#c46825
#c38a83
#df8c94
#db5a98
#a37c94
#bcc5d1
#9cb0ba
#33a7c4
#b4b3ae
#c0bb92
#cccca3
#cad9b2
#bad487
#678126
#3d582b
#586e58
