monet3	30	#bec8b6	#7e7a69	#b57265	#2c444c	#2b5e20	#ba9069	#929e9c	#69536a	#a99688	#39615d	#bb7d50	#766338	#b9b162	#ac6f4f	#84554e	#9a7e71	#c14d47	#477490	#ad8058	#829fba	#888441	#876448	#2d3b13	#cda988	#6d705f	#634928	#b1b9cf	#a68f69	#617837	#23130f
monet3	30	#a58356	#ba8b3c	#2c522f	#adbdc3	#7b97a9	#2c2c53	#267058	#c0aa5a	#2c3b27	#d29e90	#bd8f40	#ad9494	#dac4b0	#446a5f	#e7dbda	#a28470	#1a4750	#5d7436	#c5856f	#542225	#8ba1a1	#240f0e	#9fa06f	#814c4b	#ceab7c	#584520	#68682a	#6f5f68	#69675b	#e8ddc9
monet3	30	#a38a4b	#d0aa9a	#b87c4e	#b88172	#265e22	#768566	#e5e0d6	#571e24	#6e6164	#d5a58d	#7894b9	#1b1a19	#3a384f	#656334	#7e5a48	#81943a	#2e4d5e	#bc4f42	#5e7d3b	#6b8a91	#26411c	#c87172	#a56b4e	#6a644e	#a49498	#3c8398	#bfad63	#466166	#c0c6ae	#af9371
monet3	30	#89464f	#86a8a1	#f3e1c8	#457397	#4f2c28	#b56942	#b57948	#839239	#5e8c87	#787f62	#6c515a	#ddab84	#335623	#e6dadc	#b94953	#655d51	#237054	#5b401c	#46656b	#836e49	#ebc5af	#776432	#2e2e54	#d49998	#749fac	#260d13	#334119	#b67077	#ad977a	#5f7240
monet3	30	#315a30	#b28a6a	#d9a28e	#a98e6a	#b0bcb1	#b45446	#a8c9c5	#5a4c2b	#302a57	#3e739e	#2a3320	#1c4c58	#bf7177	#e3eecd	#dbe0d8	#a8a38f	#666b5c	#618488	#c48442	#68713a	#ead3a4	#587f37	#cfc5b3	#d4ae7f	#605563	#ab693e	#236956	#ae8848	#b99331	#131b15
monet3	30	#244b60	#b34c53	#31674a	#b3846b	#835246	#dbd7d2	#7e9eb5	#4b2729	#ad8847	#5b5022	#526d34	#8ba49a	#d9b6aa	#aeb9a3	#705e6a	#dcd5af	#81943d	#9d7a71	#c5746f	#2c5b2e	#f1e8d3	#b37d44	#6a8669	#ca978e	#418096	#b7b5c2	#6d8d8d	#9c9874	#2a4418	#8a7144
monet3	30	#3c695a	#8f713e	#dfe8e0	#e0d99e	#abc8bf	#20321c	#215f30	#86aca6	#a79056	#dbaa7f	#ebeeca	#675a66	#4c7e9e	#59511a	#211313	#a4714d	#22755a	#be7840	#809aa8	#3b2b5a	#d5a696	#8a5154	#6e8460	#a48676	#ba836a	#592521	#6d7137	#6e7f90	#b5baa3	#dcbcae
monet3	30	#31502f	#585128	#c9b156	#266149	#5f868d	#a89797	#2e4f5e	#d09993	#527c3f	#838a3d	#919c9d	#7a98a8	#a19c7a	#cfb37f	#854b4d	#1f161d	#bfc1b2	#213815	#ddcba7	#a1746b	#dce3e0	#6a826b	#e6e3d0	#786f5a	#c58163	#b05044	#b08b4f	#4e1c28	#bd9a34	#655c6a
monet3	30	#9d947b	#20534c	#89a3a1	#718470	#d0ae83	#b2c8b0	#6f5560	#b19595	#ddbaa2	#c2843e	#1d141a	#bac8c0	#b94e52	#6f6936	#716759	#f0e8cf	#2c3b20	#236850	#383258	#275d2b	#582120	#ad834e	#5b521e	#418197	#904b48	#aa6c44	#5b6b3d	#c8a043	#868947	#b28667
monet3	30	#656266	#4f201d	#c0484c	#dbc5af	#af5d40	#c28076	#696439	#ae918e	#775f5c	#c69b37	#6f7d82	#bc9167	#895252	#2e4314	#d8b1a9	#27504d	#94a79d	#e2e0dc	#adb8b1	#487fa4	#8193a8	#c77a3f	#a18f45	#b1c9cb	#9d9d6c	#25120a	#2f3a52	#ccaa98	#634228	#956a4a
seurat4	30	#b0aeae	#86674b	#b19178	#cec474	#958c93	#c4ae34	#787b6b	#7982aa	#535882	#7f7089	#b59d3d	#737953	#97723f	#d5cf3c	#7a727d	#b0a52e	#797749	#59585d	#5b5647	#b99a63	#99a77a	#cbbe9b	#645579	#aca653	#586844	#cebe3e	#8e892b	#68664b	#886c6d	#93a57d
seurat4	30	#b1b1a3	#b89c3d	#5e695d	#90883b	#635b38	#585d61	#996038	#906c6e	#ccba3c	#71767f	#9c905a	#b1963a	#c5b89c	#e5bc36	#716c75	#7d7d65	#5a4944	#53587d	#98957d	#5e5482	#6c4547	#828bac	#8f835b	#d1c25d	#a9a658	#728341	#91a56c	#775e41	#7a8272	#ada075
seurat4	30	#d2a632	#8b3b54	#9e9a7a	#8e7491	#cbc65d	#8c8e5c	#ac9a74	#81824a	#6c7393	#c5b374	#aaa6a5	#9a9ab2	#837b5b	#6a7189	#6e7864	#8b8e89	#907f36	#70513c	#9fa859	#5c617f	#695f40	#c4a03d	#6b5e4a	#55515a	#877978	#a05474	#a4a639	#9aa05b	#965f3b	#5d656f
seurat4	30	#ded03e	#8e6a87	#9394b1	#676976	#817e65	#bd9c39	#a99878	#858a93	#c5c14e	#826857	#535b7a	#c6bf80	#666e91	#8b80a9	#8d723e	#a19b6e	#5d6a5d	#785038	#b3b5a8	#5c6a41	#964746	#8da586	#8c865e	#989863	#bec9a4	#985a65	#4f5f86	#86862d	#c8a427	#70824c
seurat4	30	#57574e	#c5b345	#697796	#703a51	#a0aa4d	#b7977c	#717c7d	#58527b	#dbcb43	#c1c998	#d4c35a	#78816e	#995c74	#d3ae30	#7e8830	#937346	#62583f	#c6c578	#8d6d68	#b89442	#8d7b55	#9aa289	#6c5f3b	#5e6350	#8d4254	#514d60	#929492	#8b9266	#856388	#979779
seurat4	30	#585d80	#666636	#8c7b37	#9d97b0	#a6a836	#bb9445	#817a47	#90928e	#c6ab28	#c5b79b	#81886a	#5f534b	#ccc34f	#c3b972	#8092a8	#c0976a	#626d5d	#684259	#788652	#707198	#544e65	#916732	#6b7683	#5f6d66	#937653	#8e845f	#93a357	#afb0a9	#cbb638	#8b495a
seurat4	30	#674949	#b99767	#81859e	#504c4d	#bdb943	#7a5a3f	#818662	#8c987f	#595b33	#807733	#c5bd76	#626549	#876d95	#897368	#818144	#8e9685	#ada446	#9e7345	#b29571	#d9c243	#8a4258	#5f617f	#5f6590	#96955b	#a7b5b1	#d0bb5f	#c0a248	#96a37a	#cda331	#958462
seurat4	30	#877767	#b99a78	#8c8e8c	#7f8a63	#5d4d5a	#ccc6a8	#c6c67c	#b59e35	#6b685a	#816d4c	#5b5c7f	#928137	#6d4358	#897b62	#9b927a	#7a4e43	#aba99f	#63736e	#a25762	#585f32	#6d7b90	#7b774a	#a5a159	#bd9d42	#8fa26f	#50554f	#7d8a63	#585b7e	#b8a86d	#bcb23d
seurat4	30	#55557e	#af9e7f	#92414a	#92995f	#7e8daa	#bb9943	#9fa377	#8f6c6f	#adb1a6	#b19e2d	#c6bf38	#6b404f	#848636	#5b5761	#6d7c5d	#8d94a9	#a7a855	#8f9098	#817866	#8b7195	#655b72	#99596d	#746f85	#6e4f3b	#bbbd84	#5d5e4f	#89a285	#c1b23b	#cabf5d	#646938
seurat4	30	#6b464f	#d4ac29	#656052	#965f36	#918585	#7d763e	#847250	#5e4648	#798b53	#c8bc61	#6a6c75	#be953a	#ab516c	#757f81	#bb9483	#9b9d65	#924358	#917766	#cdbc41	#8b6c8f	#685a3e	#6c7d90	#a1a274	#e4cb32	#91a489	#5c6740	#94875f	#8189ac	#afa152	#b29641
photo_joaquin_rosado	30	#383437	#574c5f	#988069	#b7a0a8	#75857b	#595170	#946062	#421f27	#b99e6e	#7c768f	#6e5432	#926f46	#c1777b	#3b3f1b	#7b7d56	#907470	#8e8642	#eae9ed	#1c2888	#9ca8af	#958681	#68202b	#865253	#7b66a1	#111a0c	#706d56	#1a2818	#2e2938	#6f5f76	#444731
photo_joaquin_rosado	30	#6d5f56	#421916	#858a49	#92a3a6	#817355	#1e3c86	#816594	#9f7542	#8b4f48	#3e4635	#5a2131	#0e1918	#afab98	#5d4435	#b1a7a3	#594c68	#bc9e67	#62582f	#8e7e7c	#bb8580	#938970	#947770	#dabb44	#c3c2ae	#b095a8	#564c56	#e7e6e9	#3d3d1f	#252739	#4d6e4b
photo_joaquin_rosado	30	#8b7d45	#cdc3a8	#16161b	#9c906c	#684049	#8f666c	#967e44	#bf99a3	#437051	#99a7ae	#6a3f29	#646924	#bd9e60	#c27a79	#9e807c	#393e3a	#294324	#6e7a78	#72684f	#615e33	#28281e	#5e5961	#b3a2ac	#696e66	#7d748a	#ccb642	#8e846d	#847590	#6f7351	#8c5f55
photo_joaquin_rosado	30	#625d2c	#ccc6b8	#7e6f97	#484b2e	#223980	#8a7688	#707352	#635d51	#999271	#9d7d87	#bfaf71	#614a64	#c4b647	#96a3ad	#848b43	#c88380	#756b6c	#537625	#d5b94a	#717d7d	#0f0f1b	#a47250	#966b72	#ad9066	#293836	#694038	#402b14	#2d4a1e	#a2a1a1	#552031
photo_joaquin_rosado	30	#674729	#be9999	#bda06e	#8c8d3c	#68645e	#5f332a	#1f120d	#3c3832	#897696	#6f5724	#b0aca0	#48584f	#eee5e4	#c9c2b1	#936e75	#7c8785	#693a3f	#987159	#bab646	#9497b2	#46704e	#968986	#281a42	#a89770	#471e27	#b0b196	#1f2d19	#374b12	#868769	#786f67
photo_joaquin_rosado	30	#436b4d	#7e794d	#c5aa4f	#977576	#e0c741	#593022	#8b645d	#836591	#b4ac65	#5a762f	#354539	#6c828a	#c6777b	#9ca8b2	#92837c	#614b24	#93734e	#5e403a	#b19899	#acb391	#83768f	#67615f	#4c4a52	#342f3b	#8a574c	#5b5372	#848343	#b2b19b	#e1e9e9	#9d966f
photo_joaquin_rosado	30	#17311c	#cca347	#977178	#26273f	#967c45	#b69094	#463e32	#160e1d	#a08f7b	#d0c83c	#928d6e	#7e6f4d	#63271f	#b3b497	#6f8889	#7e5148	#83843c	#6b434f	#536e50	#2c2a2b	#544666	#3c421c	#635c54	#9e9da2	#586b31	#a39a70	#1f2989	#b67389	#b0ac6a	#eaebf4
photo_joaquin_rosado	30	#917f44	#2d223a	#827a99	#212a15	#7a7b4c	#a6ab91	#6d542c	#9f7044	#6d7977	#6c6e71	#683f4f	#a9926c	#35452e	#7c779e	#182f82	#844e4b	#af9d99	#525a6a	#13130f	#576f30	#516c56	#6c4938	#351e26	#d4c73b	#b19e66	#353e15	#b4adac	#9ca1a6	#946a79	#5a202c
photo_joaquin_rosado	30	#374b20	#545e62	#5f4b50	#352921	#c27e87	#926156	#26331c	#6c4f24	#632e2c	#b4ad6c	#476555	#c1ae47	#806598	#686773	#121c0e	#a69566	#dfbe47	#adb38f	#6b5b5c	#243485	#6e8177	#b3a09f	#7d759b	#9aa6a5	#717558	#5d4e65	#5e412c	#3a313c	#94864c	#61702f
photo_joaquin_rosado	30	#7c768c	#94696a	#98abb4	#1b1513	#8e906d	#39401e	#5e4b35	#7b6a91	#2d2d42	#a06f41	#d1beaf	#2a3c2d	#8f6b64	#332118	#84833f	#b8ab6b	#d4ca4f	#837e4c	#bd8084	#e3f0e3	#662a2a	#626722	#9d9969	#564c63	#bfa64d	#383b3b	#b7a0a4	#b0b1a1	#746672	#615c29
photo_geomangio	30	#68553c	#cd856e	#bd9588	#b68640	#7d9272	#a2a89a	#747559	#311e0a	#a0a98c	#4d663a	#6b4633	#829c5d	#7b4429	#e69d9e	#cbb27e	#c18d81	#5e6c60	#dfe6dc	#a18c5e	#b47860	#6d8c59	#a35746	#d15c6f	#bfaf51	#b5474e	#78433f	#54381e	#54483b	#333e20	#818e79
photo_geomangio	30	#a06c46	#d0a984	#76492c	#815639	#4c4847	#bb455a	#c28e7c	#7c6b56	#869674	#aba58e	#251913	#370f19	#a45e38	#54453c	#334b2a	#cf7f76	#4a291c	#6f5d5a	#d8a492	#9a8368	#6b884d	#bf6859	#5e6b51	#b07841	#622b21	#4c6447	#eadee7	#8b7e71	#952f22	#bf587e
photo_geomangio	30	#6f715e	#181b0c	#575546	#a4a983	#b76854	#b1967b	#382f2b	#a15a58	#6a5d4f	#8a3623	#7b6b5e	#623311	#90704f	#503b26	#879f5c	#d2ad61	#dee7da	#95a59c	#5e6e4b	#546536	#8f916f	#9b5526	#4e4a42	#d04f70	#a98245	#8d8e63	#948956	#c2b8b4	#b74d54	#784541
photo_geomangio	30	#7a3b1c	#66694c	#9c8167	#b68b85	#36201e	#9d5a50	#261d1c	#c1b35c	#8b3b17	#beb483	#513721	#bc7361	#445d3d	#9ea78c	#7a4944	#63443f	#dee8df	#a74b3e	#3e3422	#644d2e	#c48263	#254427	#8b8e79	#7f966e	#c48b82	#797065	#cbbaae	#87a168	#806f50	#b87c47
photo_geomangio	30	#863e29	#525f35	#bc504f	#e5f0ea	#83735e	#daae9d	#b77557	#775339	#443821	#bcc5a8	#523128	#975d2a	#17140d	#b99183	#a75e45	#9f5a54	#c4ab82	#7ea56c	#666d51	#a2a597	#c1896f	#6e7754	#a16f46	#5a2716	#a59e85	#c45771	#2e1513	#8a996d	#873920	#6b8656
