chikanobu2	15	#1a1c16	#c7410e	#dbac74	#5e4d87	#f7cebc	#8f7257	#354686	#c4a170	#752316	#d06467	#e4b3a8	#161844	#5a5236	#dbd592	#ca9441
chikanobu2	15	#150f18	#8b669b	#346517	#dc200a	#d5cbbb	#b874bf	#6f8794	#391527	#667d3d	#917e5f	#c4a59a	#063256	#3377ab	#e67c3f	#4b5c5b
chikanobu2	15	#d61b14	#dbad81	#dbd4c3	#0b0d1d	#a376a7	#4d387a	#937864	#f3b196	#8f3421	#b0b196	#23311e	#a7694a	#358da4	#3b6725	#725546
chikanobu2	15	#0f0414	#c31b10	#ede2ef	#d9b575	#79708e	#161e58	#3b1427	#c12313	#c6b4a6	#3a3e7d	#e2ddae	#b85952	#2b81b8	#be4d32	#ede6c8
chikanobu2	15	#dbac97	#091b23	#7f7b78	#ebdbd4	#cc3210	#d9765a	#240805	#3c4085	#76793d	#ed851d	#db6216	#ebae29	#90935b	#6e8f9d	#c68f2a
homer1	15	#a7734e	#8a977f	#3d1c10	#c26953	#d7a158	#ba7240	#7c8eac	#5d381d	#b34a31	#882630	#c9885a	#898d91	#a45b42	#f49f5f	#e3b09d
homer1	15	#689eb8	#952924	#b69585	#321b11	#d99348	#b3aeac	#fbcf7b	#5a2923	#1f1807	#a97750	#b37d4b	#cb6148	#8a767d	#806f4f	#95aa88
homer1	15	#ecad5e	#b95f3d	#702a2c	#6a9caf	#b27341	#9a7d6e	#d07c66	#9a5134	#df8b5a	#bab4b9	#bf966b	#b17853	#ae8a77	#81785d	#926346
homer1	15	#6885b2	#2e1d16	#f2bf7f	#b8592b	#984d44	#8d9e9e	#4a441f	#b73828	#4e261f	#97784b	#923f35	#b69c81	#211308	#87472a	#cd996a
homer1	15	#d56f4c	#978573	#d68a5b	#2a0822	#a4645b	#7e6f4d	#3d241e	#759db7	#aa8543	#955136	#ca5e40	#e2ae6f	#a47f59	#fdd28a	#e5c28d
macke1	15	#e0e6c8	#92af5a	#efc448	#765a31	#735a60	#724b2c	#839e66	#82672e	#5e3a41	#a24a44	#c49350	#b7d57a	#e2c49d	#6a533e	#b49f67
macke1	15	#eaec33	#647c96	#c34029	#64713b	#fbe1ae	#c3b035	#976460	#8fb9cc	#ceb53d	#baa880	#685831	#dcc467	#688845	#91ae47	#8b7f83
