chikanobu2	15	#1b1b1a	#c73515	#cba47a	#665a85	#e7ddd3	#9a704f	#3d4586	#c49473	#7b2f24	#c96a66	#f0c09d	#1c2045	#6a4b3d	#cfcb92	#7a8ed2
chikanobu2	15	#131510	#786596	#406422	#cb1705	#e4d2bc	#ab80b4	#748e8d	#391f21	#757437	#9d7755	#bab096	#162964	#3984a8	#e27748	#56fcd4
chikanobu2	15	#c91b11	#ecb373	#e9d6cc	#0f090f	#b084ae	#3f4380	#867c75	#eec7a3	#88351a	#b4aca1	#2c2e28	#98744e	#387cb7	#436422	#2dc051
chikanobu2	15	#14180d	#d01f0f	#f0e6f0	#e8b477	#776097	#20214b	#41291c	#bc1218	#c8a7b1	#43477f	#decbb4	#c66460	#3880b0	#bc3d2e	#bd2387
chikanobu2	15	#e1b78f	#141010	#807280	#ebd7cc	#c92912	#e68848	#0c1311	#43457e	#727139	#eb8821	#e06123	#eeb422	#839e50	#6a8b94	#0d85c2
homer1	15	#95684b	#978983	#29161e	#c07340	#d49c6b	#be623d	#748aa9	#6a382f	#9d4e37	#963a2e	#c48063	#87918b	#ad6c4a	#e99957	#9cf0f8
homer1	15	#6a8caf	#8f3726	#ad9b7a	#221313	#d78751	#c1adab	#f2c886	#4a3329	#1b130f	#a07844	#ba8754	#c06643	#898b68	#8d5d58	#eb5d1b
homer1	15	#edb260	#c56539	#792f2b	#7496a8	#a66346	#9e7a6b	#c68265	#a15337	#d98552	#b8a5ac	#c4966b	#bc6544	#aa9e77	#90744b	#cd9f28
homer1	15	#7387a9	#361315	#efcd87	#c85f38	#a5533d	#83908a	#4d362c	#ab4628	#451620	#98784b	#883026	#aba17c	#150c0d	#82422e	#637455
homer1	15	#c07343	#a08e79	#d28f62	#251314	#9e6e4b	#8b6357	#2d191a	#738aa1	#b17f52	#8d5d3c	#be5b36	#e1a16a	#a88168	#f9cb8c	#630dfa
macke1	15	#e1f0cb	#a0a15b	#ecc939	#815c43	#7a696c	#6e5b34	#83a06e	#936439	#5c453f	#994437	#d09147	#b4c47e	#d9c79a	#715f33	#62dc7f
macke1	15	#fcf145	#667194	#d04c39	#725f34	#f3eeb3	#b5c33c	#8a695d	#9db4c7	#cdae40	#adab85	#6d4b38	#e2bf6d	#718640	#8da445	#837e4a
macke1	15	#755e6b	#d8e8d4	#494960	#f4d640	#e0872f	#8a9c6b	#917936	#d09a4b	#583b3e	#e4cc6b	#6a7696	#f7f53a	#cd4a38	#665330	#d125e5
macke1	15	#e4ecc7	#755967	#8ea644	#e8833b	#ebd247	#e9e875	#5e4a3c	#e0cc92	#8b8a85	#f5b539	#a2c678	#8a7062	#894b41	#4c464b	#2712ae
