chikanobu1	20	#312730	#343522	#7a6f5e	#c97352	#efdedc	#cac2ac	#a74f42	#898a76	#413546	#63674e	#45423d	#4a594e	#584752	#a68866	#d3c5a4	#dddcc1	#a9a880	#bab29b	#505750	#6e7d1d
chikanobu1	20	#80785a	#d7c498	#a09c85	#7a7b74	#79666f	#302d2c	#807153	#c2bf8e	#544852	#a4674d	#b1b0a2	#b29c82	#a58869	#e4dac1	#423729	#68624d	#b65537	#d9c49d	#6f6f62	#1447ac
chikanobu1	20	#d6c5a1	#afb599	#c8bca9	#877c73	#8f5034	#382b27	#b29a82	#76765c	#6a6866	#b7b295	#776753	#3d3f38	#caa184	#a19a7f	#4e524e	#9f8861	#555159	#443c33	#dcddbc	#38755b
chikanobu1	20	#ab6c51	#e3d9ca	#353f3b	#b19f82	#7d6d62	#d3c992	#cc6b55	#343028	#84704b	#a3948d	#81807c	#c8bd9e	#b54e2f	#68533a	#51564b	#635e53	#a98861	#c18d70	#b0b6a5	#008d19
chikanobu1	20	#ba542a	#beb69a	#d7c79e	#89503b	#766971	#e4e7d1	#414337	#a64f44	#5a4d46	#30272e	#d2c8ab	#3d3d44	#9c998f	#8c8f97	#3c261f	#47534c	#4b412f	#c87055	#56535f	#bff584
chikanobu1	20	#423926	#534d46	#332d31	#dbc896	#cb9b85	#8b876d	#716065	#696652	#8d8d89	#a89887	#373147	#9fac9e	#826e4e	#70666f	#473a43	#be8a6e	#a6a37b	#d3c5a6	#c87558	#eb0ddf
chikanobu1	20	#54514a	#c07752	#90886e	#a76a50	#4b524b	#463b2f	#c9a382	#6d6462	#ae9881	#9ea8a3	#b85234	#804e34	#ba8670	#a45b3b	#dbcc9e	#6f6e73	#827976	#baae97	#665d55	#d2366b
chikanobu1	20	#a3725c	#887d70	#6a5c53	#988b6c	#554753	#706669	#d8cb9c	#c7c0a0	#b45731	#c1846a	#9a9190	#3e403e	#c3b8a4	#54483b	#433a2b	#ada380	#4d594f	#e2e3c7	#c6a385	#5acd9f
chikanobu1	20	#c3b799	#9b9d97	#52564f	#655738	#c8b888	#bc856d	#e2d7c0	#836b4b	#e5e0d4	#cc9d8e	#9b9290	#9d5745	#86757b	#c86f57	#3a333e	#6e6577	#413d3b	#45412a	#2f2b1d	#3cc39d
chikanobu1	20	#e6dbb9	#a9665a	#7b705f	#ac4f44	#a69f9d	#d5c6a1	#c7a680	#4a4c4e	#bc8172	#b6b296	#a58565	#b85731	#554c40	#7b6946	#cf7059	#b3a89b	#3c2c19	#e1e7dc	#c5b691	#89df94
