#251a2b
#4e4b2c
#5b468c
#2f663f
#8c488c
#427d70
#cc6a43
#2d9eb3
#4db08a
#b7aa44
#d9baba
#bfccad
#d1d0b2
#d9d3bd
#ded4c5
