#aa9c9c
#a38f86
#783c20
#d9d3c1
#cfb54e
#dac676
#b8b136
#a5b766
#aab9bd
#4e5152
#3a6ba5
#9a62a3
#8a4c8f
#b170b0
#dea0ba
