#c43b2b
#c24b2b
#9c5632
#d66f1a
#cb802f
#c3af7c
#d9cd98
#c3bd9b
#accc45
#a3bf67
#376f48
#bad9d8
#4ba3a5
#2b8083
#cc1d56
