#d9baba
#cc6a43
#ded4c5
#d9d3bd
#b7aa44
#4e4b2c
#d1d0b2
#bfccad
#2f663f
#4db08a
#427d70
#2d9eb3
#5b468c
#251a2b
#8c488c
