#cc1d56
#c43b2b
#c24b2b
#9c5632
#d66f1a
#cb802f
#c3af7c
#c3bd9b
#d9cd98
#accc45
#a3bf67
#376f48
#2b8083
#4ba3a5
#bad9d8
