#376f48
#9c5632
#cc1d56
#c43b2b
#c24b2b
#2b8083
#d66f1a
#cb802f
#4ba3a5
#c3af7c
#a3bf67
#c3bd9b
#accc45
#d9cd98
#bad9d8
