#783c20
#4e5152
#3a6ba5
#aab9bd
#d9d3c1
#dac676
#cfb54e
#b8b136
#a5b766
#a38f86
#aa9c9c
#dea0ba
#b170b0
#9a62a3
#8a4c8f
