#783c20
#4e5152
#8a4c8f
#3a6ba5
#9a62a3
#b170b0
#a38f86
#aa9c9c
#b8b136
#a5b766
#dea0ba
#cfb54e
#aab9bd
#dac676
#d9d3c1
