#a7698e
#5b8e82
#9e8885
#a1917a
#899a6e
#cf7b9b
#ba926a
#da88a7
#c29ba6
#c3ac47
#c8a99d
#9fbcc0
#b8bc9f
#c7c0a7
#c4c4a1
