#9e8885
#c8a99d
#ba926a
#a1917a
#c7c0a7
#c3ac47
#c4c4a1
#b8bc9f
#899a6e
#5b8e82
#9fbcc0
#a7698e
#cf7b9b
#da88a7
#c29ba6
