#8c488c
#5b468c
#251a2b
#4e4b2c
#2f663f
#427d70
#2d9eb3
#4db08a
#b7aa44
#bfccad
#d1d0b2
#d9d3bd
#ded4c5
#d9baba
#cc6a43
