#5b8e82
#899a6e
#c3ac47
#ba926a
#a1917a
#9e8885
#a7698e
#cf7b9b
#da88a7
#c29ba6
#c8a99d
#c7c0a7
#c4c4a1
#b8bc9f
#9fbcc0
